               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12986,            0.031892,                   0,                   0,                   0,                   0,                   0,             0.11218,            0.029358,                   0,              0.0883,              0.0013,              0.0013
                   1,             0.11923,            0.029585,                   0,                   0,                   0,                   0,                   0,             0.10934,            0.023849,                   0,            0.075673,           0.0026733,           0.0026733
                   2,             0.10476,            0.028729,                   0,           0.0033333,                 0.5,           0.0037886,           0.0010318,            0.092108,            0.024685,                   0,            0.063019,           0.0040188,           0.0040188
                   3,            0.093221,            0.026636,                   0,           0.0053333,                 0.8,            0.088942,            0.022387,            0.089519,            0.022274,                   0,            0.050337,           0.0053367,           0.0053367
                   4,            0.088824,            0.027879,                   0,           0.0053333,                 0.8,             0.18923,            0.041384,            0.090724,            0.020218,                   0,            0.037627,           0.0066268,           0.0066268
                   5,            0.088955,            0.024131,                   0,            0.073387,                 0.5,             0.10871,            0.025117,             0.07331,            0.021687,                   0,            0.024889,           0.0078891,           0.0078891
                   6,            0.082676,            0.024564,                   0,             0.15801,                 0.3,              0.1928,            0.060823,            0.086474,            0.018154,                   0,            0.012124,           0.0091238,           0.0091238
                   7,            0.081297,            0.026395,                   0,             0.19124,                 0.3,             0.20543,            0.060002,            0.080011,            0.019527,                   0,            0.009307,            0.009307,            0.009307
                   8,             0.08107,            0.023545,                   0,             0.24801,                 0.2,              0.1449,            0.034823,            0.087212,            0.016666,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.083455,            0.021225,                   0,             0.22665,                 0.2,             0.24457,            0.055648,            0.080938,            0.016399,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.077903,            0.022167,                   0,             0.21037,                 0.4,             0.25065,            0.064633,            0.070603,            0.018856,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.078453,            0.021231,                   0,            0.084124,                 0.2,             0.13143,            0.037695,            0.080021,            0.017237,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.074163,            0.019147,                   0,             0.34218,                 0.6,             0.37503,             0.09682,            0.072351,             0.01902,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.072915,            0.023655,                   0,             0.48225,                 0.5,              0.5439,             0.12501,            0.065367,            0.018963,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.069855,            0.020938,                   0,              0.1714,                 0.5,             0.24162,            0.091878,            0.062904,            0.020191,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.067926,            0.021547,                   0,             0.45873,                 0.5,             0.51544,             0.15242,            0.065563,            0.018574,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.063115,            0.021765,                   0,             0.45736,                 0.6,             0.57135,             0.25732,            0.055329,            0.019077,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.064151,            0.021613,                   0,              0.2613,                 0.3,             0.23318,             0.11108,            0.056436,            0.019222,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.061442,            0.021248,                   0,             0.46223,             0.68835,             0.51473,             0.19011,            0.053166,            0.018726,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.061803,            0.019565,                   0,             0.24291,                 0.7,             0.23333,            0.086284,            0.061499,            0.017681,                   0,            0.008218,            0.008218,            0.008218
